"EDAD","ZONA_TERRITORIAL","DPTO","PARENTESCO_JEFE_DE_HOGAR","MADRE_RESIDE_HOGAR","PADRE_RESIDE_HOGAR","SE_CONSIDERA_CAMPESINO","COMUNIDAD_ES_CAMPESINA","ETNIA","ESTADO_CIVIL","AFILIADO_SALUD","LEER_ESCRIBIR","ACTUALMENTE_ESTUDIA","MAYOR_NIVEL_EDUCATIVO","TIPO_VIVIENDA","ESTRATO_ENERGIA_ELECTRICA","SERVICIOS_GAS_NATURAL","SERVICIOS_ALCANTARILLADO","SERVICIOS_RECOLECCION_BASURAS","SERVICIOS_ACUEDUCTO","TIPO_SANITARIO","COMO_ELIMINA_BASURA","DONDE_OBTIENE_AGUA","DONDE_PREPARA_ALIMENTOS","TIPO_OCUPACION_VIVIENDA","HOGAR_TIENE_TARJETA_CREDITO","DISCAPACIDAD","ACTIVIDAD_OCUPADA_ULTIMA_SEMANA","FACTOR_EXPANSION"
21,"Cabecera","SAN ANDRES","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor sin lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","0",42.634430061
24,"Cabecera","SAN ANDRES","Hijo(a), hijastro(a)","No","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",42.855149088
20,"Cabecera","SAN ANDRES","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Otra etnia","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",31.820232426
27,"Cabecera","SAN ANDRES","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnologica ","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","0",49.204702546
24,"Cabecera","SAN ANDRES","Hijo(a), hijastro(a)","Si","No","No","No","Otra etnia","Esta soltero (a)","Si","Si","No","Tecnica profesional","Casa","Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",20.820502234
22,"Cabecera","SAN ANDRES","Otro pariente","No","No","No","No","Negro, mulato (afrodescendiente)","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnica profesional","Casa","Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",31.255795896
25,"Cabecera","SAN ANDRES","Hijo(a), hijastro(a)","Si","No","No","No","Otra etnia","Esta soltero (a)","Si","Si","No","Tecnologica ","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",32.792331416
28,"Cabecera","SAN ANDRES","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",33.928598512
23,"Cabecera","SAN ANDRES","Hijo(a), hijastro(a)","Si","No","No","No","Otra etnia","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",23.069993182
20,"Cabecera","SAN ANDRES","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo - Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Discapacidad leve","0",26.025627793
22,"Cabecera","SAN ANDRES","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo - Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",26.025627793
20,"Cabecera","SAN ANDRES","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",39.964565368
26,"Cabecera","AMAZONAS","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","No","Basica secundaria (6o - 9o)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor sin lavaplatos?","Posesion sin titulo","No","Sin discapacidad","1",57.116221045
25,"Cabecera","GUAVIARE","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Tecnologica ","Apartamento","Medio - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",139.56983702
25,"Cabecera","GUAVIARE","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnica profesional","Apartamento","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, la estan pagando","No","Sin discapacidad","1",130.04027278
25,"Cabecera","GUAVIARE","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","Propia, totalmente pagada","No","Sin discapacidad","1",107.88362453
25,"Cabecera","GUAVIARE","Otro pariente","No","No","Si","Si","Indigena","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",84.694320411
21,"Cabecera","GUAVIARE","Hijo(a), hijastro(a)","Si","Fallecido","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Apartamento","Bajo","No","Si","Si","No","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De pozo con bomba","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",99.62515157
26,"Cabecera","GUAVIARE","Jefe (a) del hogar","No","Fallecido","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De pozo con bomba","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",97.530204582
27,"Cabecera","GUAVIARE","Pareja, esposo(a), conyuge, companero(a)","No","Fallecido","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De pozo con bomba","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",97.530204582
22,"Cabecera","GUAVIARE","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo","No","Si","Si","No","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De pozo con bomba","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",85.581142433
22,"Cabecera","GUAVIARE","No pariente","No","Fallecido","No","No","Indigena","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","No","Si","Si","No","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De pozo con bomba","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",85.581142433
23,"Cabecera","VAUPES","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En ninguna parte, no preparan alimentos?","En arriendo o subarriendo","No","Sin discapacidad","1",25.203837104
25,"Cabecera","VAUPES","Jefe (a) del hogar","No","No","No","No","Negro, mulato (afrodescendiente)","Esta soltero (a)","Si","Si","No","Tecnica profesional","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","0",18.760101538
26,"Cabecera","VAUPES","Hermano(a) o hermanastro(a)","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",31.377215091
26,"Resto","BOLIVAR","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo - Bajo","Si","Si","Si","No","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Otro","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1748.3670036
21,"Resto","BOLIVAR","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Otro","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",1554.2553241
18,"Resto","BOLIVAR","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Otro","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","0",1554.2553241
27,"Resto","BOLIVAR","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Otro","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1407.3103022
25,"Cabecera","BOLIVAR","Otro pariente","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1036.1520813
22,"Cabecera","LA GUAJIRA","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",637.17011974
26,"Cabecera","LA GUAJIRA","Jefe (a) del hogar","No","No","Si","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Universitaria","Casa","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De otra fuente por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",936.03021667
23,"Resto","LA GUAJIRA","Otro pariente","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","No","No tiene servicio sanitario","La queman o entierran","Otro","En un patio, corredor, enramada, al aire libre?","Propia, totalmente pagada","No","Sin discapacidad","1",874.45033837
23,"Resto","LA GUAJIRA","Hijo(a), hijastro(a)","Si","Si","No","No","Indigena","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","Si","No tiene servicio sanitario","La queman o entierran","Otro","En un patio, corredor, enramada, al aire libre?","Propia, totalmente pagada","No","Sin discapacidad","1",1166.5101211
22,"Resto","LA GUAJIRA","Hijo(a), hijastro(a)","Si","Si","No","No","Indigena","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","Si","No tiene servicio sanitario","La queman o entierran","Otro","En un patio, corredor, enramada, al aire libre?","Propia, totalmente pagada","No","Sin discapacidad","1",1166.5101211
28,"Cabecera","LA GUAJIRA","Hermano(a) o hermanastro(a)","No","Si","No","No","Indigena","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un patio, corredor, enramada, al aire libre?","En arriendo o subarriendo","No","Sin discapacidad","1",217.29330322
25,"Cabecera","LA GUAJIRA","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Casa","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor con lavaplatos?","Propia, totalmente pagada","No","Sin discapacidad","1",250.45202739
24,"Cabecera","LA GUAJIRA","Hijo(a), hijastro(a)","Si","Si","No","No","Indigena","Esta soltero (a)","No","Si","No","Tecnica profesional","Casa","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Otro","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",253.13490441
22,"Cabecera","LA GUAJIRA","Hijo(a), hijastro(a)","Si","Si","No","No","Indigena","Esta separado (a) o divorciado (a)","No","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","No","Si","No","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Otro","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",253.13490441
24,"Cabecera","CUNDINAMARCA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",3760.1174441
23,"Resto","CUNDINAMARCA","Jefe (a) del hogar","Si","No","No","Si","Negro, mulato (afrodescendiente)","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1645.1656965
26,"Resto","CUNDINAMARCA","Jefe (a) del hogar","Fallecida","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Discapacidad leve","1",1601.3011014
28,"Resto","CUNDINAMARCA","Jefe (a) del hogar","Fallecida","No","No","No informa","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1601.3011014
27,"Cabecera","CUNDINAMARCA","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1133.5745784
20,"Cabecera","CUNDINAMARCA","Jefe (a) del hogar","No","Fallecido","Si","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Discapacidad leve","1",2005.7639004
18,"Cabecera","CUNDINAMARCA","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","No","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",2005.7639004
28,"Cabecera","CUNDINAMARCA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Casa","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",1375.5473381
22,"Cabecera","CAQUETA","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","Si","Tecnica profesional","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",439.61402312
27,"Cabecera","CAQUETA","Hijo(a), hijastro(a)","Si","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",309.43374107
21,"Cabecera","CAQUETA","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Basica secundaria (6o - 9o)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",317.11573935
25,"Cabecera","CAQUETA","Jefe (a) del hogar","No","Fallecido","Si","Si","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","No","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",229.75152547
27,"Cabecera","BOYACA","Jefe (a) del hogar","No","Fallecido","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Tecnologica ","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",3862.6642669
22,"Cabecera","BOYACA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",4262.7368371
26,"Cabecera","BOYACA","Pareja, esposo(a), conyuge, companero(a)","No","Fallecido","Si","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Discapacidad leve","1",6345.7416443
28,"Cabecera","BOYACA","No pariente","No","Fallecido","No","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",6345.7416443
26,"Cabecera","BOYACA","Jefe (a) del hogar","No","Fallecido","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",3071.0765883
25,"Cabecera","BOYACA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnica profesional","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",5081.0869348
24,"Resto","BOYACA","Jefe (a) del hogar","No","No","No","Si","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","Si","Universitaria","Casa","Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",620.91746132
21,"Resto","BOYACA","Pareja, esposo(a), conyuge, companero(a)","No","No","No","Si","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Tecnologica ","Casa","Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","0",620.91746132
28,"Resto","BOYACA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica primaria (1o - 5o)","Casa","Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",490.35717006
26,"Cabecera","BOYACA","Jefe (a) del hogar","No","No","No","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","Si","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, la estan pagando","No","Sin discapacidad","1",2994.8561067
26,"Cabecera","BOYACA","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","Si","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, la estan pagando","No","Sin discapacidad","1",2994.8561067
21,"Resto","BOYACA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",141.40851448
25,"Cabecera","BOYACA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",3829.4408687
25,"Cabecera","BOYACA","Jefe (a) del hogar","No","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",2891.2339988
24,"Cabecera","BOYACA","Hermano(a) o hermanastro(a)","No","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","1",2891.2339988
25,"Cabecera","BOYACA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",4275.1372008
