EDAD;NUMERO_CUARTOS_VIVIENDA;NUMERO_CUARTOS_DORMIR;NUMERO_PERSONAS_HOGAR;TIPO_OCUPACION_VIVIENDA;ETNIA;GENERO;ESTADO_CIVIL;ORIENTACION_SEXUAL;ESTRATO_ENERGIA_ELECTRICA;MAYOR_NIVEL_EDUCATIVO;MADRE_RESIDE_HOGAR;PARENTESCO_JEFE_DE_HOGAR;SEXO;DPTO;FACTOR_EXPANSION;ACTIVIDAD_OCUPADA_ULTIMA_SEMANA
26;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;414.99405729;1
25;3;2;3;Propia, la estan pagando;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;331.79461993;1
24;3;2;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;354.1899797;1
23;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;180.16540829;1
22;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;180.16540829;1
21;4;3;9;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;288.7918175;1
28;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Masculino;META;193.28677708;1
28;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);No;Pareja, esposo(a), conyuge, companero(a);Masculino;META;205.33770155;1
27;3;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Femenino;META;139.64816148;1
20;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;META;173.25617919;0
24;4;1;2;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Medio - Bajo;Universitaria;No;Pareja, esposo(a), conyuge, companero(a);Femenino;META;572.48728069;1
19;4;2;2;Propia, totalmente pagada;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);No;Otro pariente;Masculino;NARINO;166.41965572;0
18;3;2;2;Propiedad colectiva;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NARINO;128.54945136;0
23;5;4;6;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Universitaria;No;No pariente;Masculino;NARINO;94.824240695;0
19;3;2;4;Propia, totalmente pagada;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Tecnica profesional;Si;Otro pariente;Masculino;NARINO;99.957661954;0
21;4;3;5;Propia, totalmente pagada;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;NARINO;88.502624649;0
27;3;2;3;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo - Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Femenino;NARINO;138.724036;1
26;4;3;4;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NARINO;70.802099719;1
27;6;5;15;Propiedad colectiva;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;NARINO;70.802099719;0
19;6;5;15;Propiedad colectiva;Negro, mulato (afrodescendiente);Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo - Bajo;Basica primaria (1o - 5o);Si;Hijo(a), hijastro(a);Femenino;NARINO;70.802099719;1
21;6;5;15;Propiedad colectiva;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);No;No pariente;Masculino;NARINO;70.802099719;0
25;4;2;3;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;NARINO;164.25081137;1
19;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;NARINO;109.29606175;0
28;4;1;2;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NARINO;167.06168943;1
27;6;5;8;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Ambos sexos;Bajo;Media academica (Bachillerato clasico);Si;Otro pariente;Femenino;NARINO;121.7490418;1
27;6;3;4;En usufructo;Indigena;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;177.72337126;0
24;1;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);Si;Jefe (a) del hogar;Masculino;NARINO;152.89947688;1
24;1;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Femenino;NARINO;152.89947688;1
24;1;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;152.89947688;1
22;3;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;NARINO;149.52796667;0
28;3;1;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;NARINO;146.17897825;1
28;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;147.40484996;1
25;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;147.40484996;1
25;4;3;6;Propia, totalmente pagada;Negro, mulato (afrodescendiente);Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;150.6061207;1
26;1;1;7;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);Si;Hijo(a), hijastro(a);Masculino;NARINO;207.54862661;1
23;5;4;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Masculino;NARINO;146.36454965;0
18;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NARINO;165.37542534;1
28;3;2;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;NARINO;162.9581829;1
22;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NARINO;150.56649256;1
27;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);No;Pareja, esposo(a), conyuge, companero(a);Masculino;NARINO;151.87426312;1
18;3;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Masculino;NARINO;155.97940143;1
23;3;2;6;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Otro pariente;Masculino;NARINO;156.81154265;0
20;3;2;6;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Otro pariente;Masculino;NARINO;156.81154265;0
26;2;2;9;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);No;Otro pariente;Masculino;NARINO;162.1388041;1
28;4;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Tecnologica ;No;Pareja, esposo(a), conyuge, companero(a);Femenino;NARINO;134.87853699;1
24;2;2;4;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NARINO;148.65963783;0
26;4;3;6;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NARINO;172.24378884;0
28;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NARINO;189.79709785;0
25;4;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NARINO;138.76744263;0
20;5;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NARINO;132.91374815;1
28;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NARINO;178.34396941;1
27;4;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NARINO;190.00236037;1
28;4;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Masculino;NARINO;190.00236037;0
28;4;3;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Alto;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;153.98568673;1
23;4;3;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Alto;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NARINO;153.98568673;0
23;1;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NARINO;121.98444846;1
26;3;3;1;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Alto;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Masculino;NARINO;156.94452101;1
23;4;3;10;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo;Media tecnica (Bachillerato tecnico);Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;377.32481206;1
21;4;3;5;En usufructo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;463.52980658;0
28;4;3;5;En usufructo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Masculino;NORTE DE SANTANDER;463.52980658;1
23;4;3;5;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Hermano(a) o hermanastro(a);Masculino;NORTE DE SANTANDER;463.52980658;0
24;4;3;7;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Fallecida;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;368.40675011;1
22;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;297.94580792;0
22;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;243.86752778;0
18;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;243.86752778;0
22;3;2;8;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Basica secundaria (6o - 9o);Fallecida;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;469.2808191;1
20;3;2;8;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Basica secundaria (6o - 9o);Fallecida;Hermano(a) o hermanastro(a);Femenino;NORTE DE SANTANDER;469.2808191;1
25;4;3;7;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;323.79261545;0
21;4;2;3;Propia, la estan pagando;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;464.50147832;1
20;4;2;3;Propia, la estan pagando;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;464.50147832;1
24;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;450.82935643;1
21;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;450.82935643;1
25;2;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;343.19495088;0
23;3;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;341.94528677;1
23;3;2;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Universitaria;No;No pariente;Masculino;NORTE DE SANTANDER;372.75640781;1
22;4;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Fallecida;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;526.94489346;1
24;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;221.63095808;1
28;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media tecnica (Bachillerato tecnico);No;Hermano(a) o hermanastro(a);Femenino;NORTE DE SANTANDER;221.63095808;1
22;4;3;7;Posesion sin titulo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnica profesional;No;Otro pariente;Femenino;NORTE DE SANTANDER;578.05580243;1
20;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;371.53091227;0
22;4;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Tecnica profesional;No;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;544.90223515;0
20;3;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);No;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;386.89521033;0
25;1;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;443.98953824;1
28;3;2;3;Posesion sin titulo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;651.37428441;1
28;2;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta casado (a);Mujeres;Bajo - Bajo;Tecnologica ;No;Pareja, esposo(a), conyuge, companero(a);Masculino;NORTE DE SANTANDER;643.49053289;1
27;4;3;3;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;337.52064049;1
22;3;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;221.69775252;1
21;4;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;NORTE DE SANTANDER;236.13863103;1
27;2;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;311.99540989;1
26;2;1;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Media academica (Bachillerato clasico);Fallecida;Pareja, esposo(a), conyuge, companero(a);Femenino;NORTE DE SANTANDER;311.99540989;1
25;3;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;509.19265537;1
19;11;9;14;Propiedad colectiva;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;399.01682235;0
27;4;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Medio - Bajo;Media tecnica (Bachillerato tecnico);Fallecida;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;361.87460245;1
24;3;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta separado (a) o divorciado (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;227.99941913;1
19;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;341.53739123;1
27;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;341.53739123;1
23;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Medio - Bajo;Universitaria;No;Otro pariente;Femenino;NORTE DE SANTANDER;341.53739123;1
25;3;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;263.73797224;1
28;4;3;5;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Medio - Bajo;Postgrado;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;340.57118684;1
25;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Basica secundaria (6o - 9o);No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;284.5504569;1
25;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;284.5504569;0
24;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;409.84486948;0
26;5;3;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media tecnica (Bachillerato tecnico);No;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;1706.094272;1
28;3;2;3;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;384.19570855;1
19;3;2;6;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;792.01962193;1
22;3;2;6;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;792.01962193;1
21;3;2;6;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Femenino;NORTE DE SANTANDER;792.01962193;0
24;4;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Media tecnica (Bachillerato tecnico);No;Jefe (a) del hogar;Masculino;NORTE DE SANTANDER;348.33244589;1
26;4;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;250.72888241;1
18;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;318.79580918;0
20;2;2;6;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;275.85493501;1
18;2;2;6;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;275.85493501;1
22;3;2;5;Posesion sin titulo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;330.05895453;1
20;3;2;5;Posesion sin titulo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;330.05895453;1
23;4;2;5;En usufructo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);Si;Hijo(a), hijastro(a);Masculino;NORTE DE SANTANDER;312.11154139;1
28;2;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Femenino;NORTE DE SANTANDER;675.33016544;1
22;2;1;3;En usufructo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Masculino;NORTE DE SANTANDER;409.54694278;1
28;4;2;2;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;NORTE DE SANTANDER;299.42918013;1
